NIT,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,DIA DE PEDIDO,FRECUENCIA
900647561,1,1,11,5,15
900221394,2,2,5,5,15
830138648,3,3,8,3,7
900325357,3,4,13,2,15
901504186,1,5,21,4,30
830047295,4,1,11,1,15
900356216,5,3,8,4,15
901631963,6,6,2,5,15
860021766,6,4,13,1,15
860006764,3,4,17,4,7
901748762,1,7,22,3,15
860532801,7,6,2,2,15
901198963,1,3,9,3,15
900942377,7,1,10,5,15
860041492,0,1,10,4,7
830062322,6,6,13,5,15
860037208,1,8,1,3,7
830032604,5,7,22,5,7
901759864,4,3,8,1,30
900913004,3,7,7,1,7
901782368,1,9,19,1,15
901418208,4,7,22,4,7
900902047,7,4,14,1,15
900089067,8,5,5,1,15
900114621,1,1,11,1,15
901388742,11,3,23,5,15
800167703,8,4,3,1,15
900191331,11,3,8,5,15
901258971,1,9,19,3,15
900196195,11,8,1,1,7
900762198,1,7,22,1,30
830087789,8,4,3,6,7
901203925,1,10,24,5,30
900375532,1,1,11,5,15
900192109,1,10,24,5,15
901674204,4,1,11,6,15
830147304,7,3,9,3,7
900007370,3,6,2,3,15
900007370,3,6,2,3,15
900007370,3,9,19,3,15
900988215,7,6,12,3,15
830503176,8,9,19,1,15
901628264,11,11,1,5,15
830121170,11,9,19,5,15
901112138,1,10,23,5,15
860021657,3,5,4,2,15
901056702,0,9,19,3,15
901585475,11,2,18,3,15
901413536,1,3,8,5,15
901122348,11,7,19,5,15
900760529,3,7,22,5,15
800132514,2,3,8,5,15
860029326,10,8,1,5,15
860029711,11,11,11,5,7
901691375,11,12,18,4,7
860016850,1,4,3,4,15
860025553,1,1,10,5,30
900978823,11,1,10,5,15
901168751,1,1,10,4,15
830094719,3,3,8,3,7
860016577,1,12,18,3,7
900936583,5,3,8,5,15
832001837,2,1,10,3,7
901497083,3,4,3,6,15
832010086,8,7,25,4,15
860020426,11,12,15,5,30
830050696,1,2,18,5,30
830011345,1,3,8,1,15
830051382,6,1,12,6,15
900575354,2,2,5,3,30
901053834,1,3,8,5,15
901654583,8,12,16,5,15
900013300,3,2,5,6,15
900947973,3,4,3,4,15
860526888,5,4,3,5,15
860515777,6,11,11,3,15
900410337,8,4,3,1,7
830032967,2,1,10,4,7
901233134,11,3,8,5,30
901653380,3,2,18,5,7
901284051,1,7,7,1,15
830027825,1,7,7,4,30
901080239,3,7,22,1,7
901588413,11,3,9,1,7
832003356,1,13,26,5,15
900316207,6,1,10,5,30
901252121,1,1,11,1,15
830143765,1,6,2,5,30
800080296,9,1,10,5,30
860020658,2,1,11,5,30
830075192,5,1,10,5,30
860023398,2,4,3,5,30
830128181,8,4,3,5,30
860007390,1,7,22,3,30
860007390,1,7,22,3,15
901598526,1,3,8,5,15
860403918,1,12,6,3,30
900069817,11,2,18,3,15
901736908,5,6,12,5,15
901662730,8,6,27,5,15
901525606,1,3,8,5,15
900760529,10,7,22,5,15
900760529,10,7,22,5,15
900706064,11,7,22,5,15
830130702,11,11,11,3,15
830130702,11,11,11,3,15
800044423,2,6,12,5,30
800137771,2,1,10,3,30
900196560,3,7,7,3,15
901268104,4,1,10,3,15
900273909,5,4,3,3,7
890506147,1,3,8,3,30
901009643,5,13,28,3,15
901578925,1,1,11,3,30
832003348,1,13,29,3,15
900671529,3,1,11,3,15
832000767,5,13,30,3,30
830136242,8,1,10,3,15
800090799,11,1,10,3,7
900196560,3,4,14,3,7
860075283,1,4,13,1,15
900687126,1,3,24,4,15
901264716,1,5,4,4,15
900097853,1,9,19,3,15
900196560,3,3,8,3,15
860024395,6,3,8,3,15
900033495,5,10,31,3,30
830073291,1,4,14,3,15
900136903,9,7,7,3,7
900136903,9,7,7,3,7
900392293,1,1,11,3,15
860010527,6,10,32,3,15
901395405,5,10,33,3,15
900136903,9,12,6,3,7
900136903,9,5,15,3,7
900136903,9,9,19,3,7
900136903,9,9,19,3,7
900136903,9,6,12,3,7
900136903,9,6,2,3,7
860067294,6,11,11,2,15
800231307,1,1,10,4,7
900617166,1,6,2,3,30
900482929,9,3,34,3,15
901559213,11,9,19,4,7
800116748,1,3,35,3,15
900868158,1,2,5,3,15
901590595,9,7,22,4,7
901590595,1,7,22,4,30
860020585,2,6,13,2,30
860007390,1,3,24,3,15
830085763,1,2,18,4,15
830085763,1,2,18,4,15
900175374,5,1,11,4,7
901714240,1,7,22,3,15
901101848,8,1,10,1,15
901358753,8,7,22,1,15
901621664,5,3,32,2,15
900666314,8,2,18,5,15
901299570,1,13,28,4,30
901306178,4,9,19,3,7
900047613,8,1,11,1,15
901535646,7,11,11,4,15
901289088,8,2,5,4,15
900413446,1,5,4,4,15
901419905,1,3,8,4,15
900111596,1,1,10,4,30
900704110,11,5,4,1,15
